Topology,Label,Density,VF,GSA,LCD,PLD,GAV,∆∆A_total,∆∆A_total_err,Source,U_0K
isg,3D,,,,,,,,,,101.004
ish,3D,,,,,,,,,,79.367
isi,3D,,,,,,,,,,83.701
isj,3D,,,,,,,,,,124.114
ism,3D,,,,,,,,,,137.723
isn,3D,,,,,,,,,,129.327
iso,3D,,,,,,,,,,130.608
isu,3D,,,,,,,,,,87.090
isx,3D,,,,,,,,,,118.768
jusa,3D,,,,,,,,,,68.815
kfi,3D,,,,,,,,,,76.529
knba,3D,,,,,,,,,,66.216
kts,3D,,,,,,,,,,80.046
lcsa,3D,,,,,,,,,,78.412
lcva,3D,,,,,,,,,,70.958
lev,3D,,,,,,,,,,117.941
ltl,3D,,,,,,,,,,111.198
lxx,3D,,,,,,,,,,96.820
maz,3D,,,,,,,,,,113.592
mds,3D,,,,,,,,,,133.002
med,3D,,,,,,,,,,91.929
mep,3D,,,,,,,,,,126.498
mft,3D,,,,,,,,,,84.185
mgzxd,3D,,,,,,,,,,119.220
msd,3D,,,,,,,,,,95.674
mtn,3D,,,,,,,,,,75.973
nfb,3D,,,,,,,,,,83.586
nog,3D,,,,,,,,,,81.855
odf,3D,,,,,,,,,,75.642
odh,3D,,,,,,,,,,95.571
poz,3D,,,,,,,,,,74.756
rad,3D,,,,,,,,,,139.723
rho,3D,,,,,,,,,,98.759
sdt,3D,,,,,,,,,,117.124
tdc,3D,,,,,,,,,,91.121
tdd,3D,,,,,,,,,,88.545
twfa,3D,,,,,,,,,,75.722
ucw,3D,,,,,,,,,,73.449
ukx,3D,,,,,,,,,,105.324
uky,3D,,,,,,,,,,92.246
ulg,3D,,,,,,,,,,71.698
ulh,3D,,,,,,,,,,64.297
uli,3D,,,,,,,,,,70.104
ull,3D,,,,,,,,,,151.070
uma,3D,,,,,,,,,,121.253
umg,3D,,,,,,,,,,107.108
uml,3D,,,,,,,,,,82.388
umn,3D,,,,,,,,,,95.509
umr,3D,,,,,,,,,,121.183
ums,3D,,,,,,,,,,101.115
umu,3D,,,,,,,,,,106.704
umv,3D,,,,,,,,,,104.966
unb,3D,,,,,,,,,,115.860
ung,3D,,,,,,,,,,105.554
unl,3D,,,,,,,,,,103.430
unr,3D,,,,,,,,,,63.813
uns,3D,,,,,,,,,,99.499
unt,3D,,,,,,,,,,70.643
unu,3D,,,,,,,,,,80.494
uoa,3D,,,,,,,,,,79.724
uod,3D,,,,,,,,,,95.010
uoe,3D,,,,,,,,,,75.589
uof,3D,,,,,,,,,,98.105
uoh,3D,,,,,,,,,,105.893
uoi,3D,,,,,,,,,,88.196
uop,3D,,,,,,,,,,98.144
uos,3D,,,,,,,,,,115.392
vfi,3D,,,,,,,,,,113.695
wse,3D,,,,,,,,,,67.862
ykh,3D,,,,,,,,,,64.300
zeb,3D,,,,,,,,,,127.507
znp,3D,,,,,,,,,,124.172
zrad,3D,,,,,,,,,,130.354
