,Topology,Label,Density,VF,GSA,LCD,PLD,GAV,∆∆A_total,∆∆A_total_err,Source,U_0K
222,afx,3D,0.281547,0.66498,3713.06,32.80166,21.33733,2.36188,,,,155.728
223,ana,3D,0.385838,0.55738,3524.66,21.52299,15.23177,1.44459,,,,132.541
224,anaa,3D,0.203951,0.78192,3261.04,45.31836,29.33766,3.83385,,,,119.067
225,ast,3D,0.310796,0.62626,3880.53,34.54469,13.25812,2.01502,,,,148.247
226,ato,3D,0.33772,0.58826,4048.02,31.28887,27.03305,1.74186,,,,161.611
227,bag,3D,0.134059,0.86906,2416.83,90.06735,50.42232,6.48267,,,,100.694
228,bah,3D,0.143783,0.86038,2215.47,100.27272,55.70633,5.98389,,,,100.791
229,baj,3D,0.193757,0.80952,2306.54,76.97939,41.63297,4.17801,,,,103.169
230,bak,3D,0.191573,0.8005,2795,64.20335,40.33858,4.17857,,,,113.059
231,bam,3D,0.207821,0.76352,3385.62,64.19211,61.39055,3.67393,,,,147.721
232,ban,3D,0.278055,0.70192,2749.91,40.62381,33.75661,2.52439,,,,115.26
233,baq,3D,0.181723,0.81852,2579.78,67.64862,35.93901,4.50422,,,,100.821
234,bar,3D,0.279351,0.70088,2972.74,54.33818,18.05996,2.50896,,,,113.971
235,bas,3D,0.212942,0.75898,3259.05,64.35593,36.67647,3.56426,,,,134.214
236,bat,3D,0.171636,0.8129,2854.03,74.61639,48.63833,4.73618,,,,127.863
237,baw,3D,0.380058,0.60604,2574.16,32.01883,23.29487,1.5946,,,,106.189
238,bax,3D,0.323003,0.67642,2331.04,40.67132,33.43906,2.09416,,,,105.267
239,bby,3D,0.222261,0.7434,3483.51,63.30387,58.01775,3.34472,,,,150.423
240,bbz,3D,0.229726,0.73102,3760.86,63.03166,60.60798,3.18214,,,,157.595
241,bca,3D,0.228905,0.74142,3260.12,62.74335,60.6593,3.23899,,,,134.942
242,bcj,3D,0.191755,0.79432,3169.44,42.28172,37.92738,4.14237,,,,109.91
243,bcq,3D,0.370653,0.55534,3978.59,21.96943,14.03578,1.49828,,,,150.895
244,bcut,3D,0.359946,0.63734,2411.99,53.62431,25.14385,1.77066,,,,107.453
245,bcv,3D,0.397948,0.58392,2692.04,31.98793,20.58201,1.46733,,,,106.59
246,bcy,3D,0.346614,0.60978,3384.09,30.73857,25.96007,1.75925,,,,128.371
247,bcz,3D,0.439324,0.4878,3584.66,20.02672,12.34608,1.11034,,,,129.658
248,bnnt,3D,0.330198,0.6377,3044.64,47.72419,31.20329,1.93127,,,,127.157
249,bzd,3D,0.223002,0.76058,2798.48,90.46164,87.92801,3.41064,,,,128.573
250,cald,3D,0.334074,0.58796,4198.4,29.83678,12.71242,1.75997,,,,161.369
251,cbd,3D,0.411721,0.5209,3567.73,25.66232,13.08696,1.26518,,,,130.61
252,cfd,3D,1.01584,0.11434,1031.92,12.58183,4.76754,0.112557,,,,149.435
253,cha,3D,0.29293,0.65846,3576.72,31.50694,21.72784,2.24784,,,,151.162
254,cla,3D,0.353154,0.57246,3991.07,28.00465,12.48234,1.62099,,,,148.954
255,cmc,3D,0.247911,0.71886,3368.72,58.82411,54.57844,2.89967,,,,141.557
256,cssa,3D,1.15652,0,0,9.96007,2.90903,0,,,,157.795
257,ctta,3D,0.437301,0.54616,2803.62,25.47171,14.51924,1.24893,,,,104.911
258,dtc,3D,0.243546,0.69938,4063.55,60.52791,57.60296,2.87166,,,,170.479
259,dtd,3D,0.233399,0.74822,2888.83,82.26542,80.6041,3.20575,,,,127.965
260,eab,3D,0.280781,0.65932,3927.14,33.99178,21.64056,2.34817,,,,165.655
261,edp,3D,0.32469,0.65396,3074.74,28.992,20.89888,2.0141,,,,115.316
262,eri,3D,0.294513,0.6508,3761.02,32.89677,21.42306,2.20975,,,,155.511
263,eyea,3D,0.272465,0.69868,3219,54.69818,33.62289,2.56429,,,,119.061
264,flua,3D,0.355966,0.632,2811.36,32.16212,16.08355,1.77545,,,,101.793
265,fsia,3D,0.266222,0.72032,3022.81,43.91717,30.8641,2.70571,,,,112.194
266,ftc,3D,0.343218,0.6022,3443.36,32.81913,20.642,1.75457,,,,129.669
267,ftf,3D,0.33841,0.59724,3782.88,38.42215,34.63719,1.76484,,,,148.36
268,ftg,3D,0.250673,0.72426,3135.12,59.3026,57.9327,2.88926,,,,124.231
269,fth,3D,0.291001,0.68216,2937.8,45.37388,19.89201,2.34419,,,,124.484
270,fti,3D,0.327426,0.63834,3096.15,37.42723,33.32034,1.94957,,,,124.753
271,ftj,3D,0.317336,0.6291,3572.41,33.01472,19.31571,1.98244,,,,137.611
272,ftm,3D,0.152629,0.8364,3227.63,82.94936,42.86968,5.47995,,,,122.491
273,ftr,3D,0.258519,0.73952,2577.29,52.77853,26.46136,2.8606,,,,102.075
274,ftv,3D,0.292607,0.70432,2537.87,45.29793,24.96217,2.40705,,,,101.686
275,ftwt,3D,0.415226,0.5791,2468.81,49.17049,13.52354,1.39466,,,,102.316
276,fty,3D,0.302748,0.69558,2360.04,59.97209,39.11607,2.29756,,,,98.239
277,ftz,3D,0.294182,0.70572,2350.04,52.41224,28.59531,2.39892,,,,106.139
278,fua,3D,0.293293,0.67262,3190.36,34.58587,24.84386,2.29334,,,,133.562
279,fub,3D,0.245806,0.74882,2624.3,66.70485,29.36639,3.04639,,,,104.552
280,fue,3D,0.296998,0.6862,2796.46,52.97271,31.91457,2.31045,,,,112.723
281,fuf,3D,0.28386,0.69684,2860.58,43.42388,29.98974,2.45487,,,,118.297
282,fug,3D,0.346403,0.6362,2676.15,50.5177,16.51473,1.83659,,,,109.008
283,fuh,3D,0.295945,0.68026,2791.43,50.87627,19.64316,2.2986,,,,119.997
284,fuj,3D,0.315189,0.65978,2846.74,43.29421,29.05094,2.09328,,,,123.841
285,ful,3D,0.363582,0.62614,2566.15,39.92044,27.63472,1.72214,,,,109.371
286,fun,3D,0.298905,0.66008,3171.04,37.03308,24.28102,2.20833,,,,134.292
287,fuo,3D,0.3663,0.59612,3010.86,32.10808,17.95316,1.62741,,,,119.294
288,fur,3D,0.287555,0.67216,3205.98,31.40565,26.28466,2.3375,,,,142.406
289,fus,3D,0.299715,0.66006,3284.16,37.53166,17.7295,2.2023,,,,128.702
290,fut,3D,0.313137,0.67042,2899.62,52.02489,18.23473,2.14098,,,,108.682
291,fuu,3D,0.382261,0.5866,3060.68,29.14121,18.11046,1.53456,,,,111.654
292,fuy,3D,0.340855,0.63474,2728.23,41.57632,28.7793,1.8622,,,,126.116
293,fuz,3D,0.348343,0.59664,3449.16,35.79808,16.07091,1.71279,,,,134.55
294,fva,3D,0.30162,0.63782,3882.45,35.08483,19.52116,2.11465,,,,160.583
295,fvc,3D,0.285912,0.65126,3934.05,36.39016,21.72571,2.27783,,,,168.502
296,fvd,3D,0.314365,0.63056,3583.61,34.03217,18.84673,2.00582,,,,142.318
297,fvf,3D,0.337849,0.62548,3328.1,43.59877,11.67896,1.85136,,,,119.228
298,fvh,3D,0.282498,0.65982,3980.36,48.76872,14.64703,2.33567,,,,160.629
299,fvi,3D,0.315193,0.63126,3647.32,45.73696,13.26725,2.00278,,,,140.865
300,fvj,3D,0.332787,0.62396,3490.36,30.632,17.44719,1.87496,,,,143.743
301,fvl,3D,0.306329,0.64808,3582.99,33.21581,18.53203,2.11563,,,,132.809
302,fvm,3D,0.295738,0.6539,3724.31,40.95539,34.28733,2.21108,,,,140.341
303,fvo,3D,0.33776,0.59448,3869.24,26.30059,13.54124,1.76007,,,,151.539
304,fvq,3D,0.393819,0.54542,3491.61,33.22447,12.40834,1.38495,,,,129.806
305,fvr,3D,0.356665,0.57942,3707.21,25.45919,12.55471,1.62455,,,,141.995
306,fvs,3D,0.341123,0.5909,3971.54,28.15668,12.55411,1.73222,,,,143.692
307,fvt,3D,0.403759,0.541,3479.74,26.11495,17.50164,1.33991,,,,119.744
308,fvv,3D,0.464026,0.47468,3239.25,24.39155,11.12478,1.02296,,,,120.388
309,fwz,3D,0.263793,0.6988,3397.75,54.34276,50.65934,2.64905,,,,131.353
310,gcd,3D,0.18351,0.80364,2883.35,87.1305,85.51877,4.37926,,,,138.24
311,gie,3D,0.414739,0.56514,2740.95,27.94659,19.41138,1.36264,,,,114.183
312,hal,3D,0.387327,0.5866,2959.8,34.71692,15.53054,1.51448,,,,108.349
313,heaa,3D,0.289106,0.6929,3043.39,32.42469,24.05467,2.3967,,,,137.354
314,ict,3D,0.566942,0.3501,3201.14,17.19579,11.86751,0.617524,,,,130.485
315,isa,3D,0.314764,0.61032,4158.67,28.55225,14.13144,1.93898,,,,169.223
316,ise,3D,0.331195,0.59554,4127.18,26.26541,12.5178,1.79816,,,,163.621
317,isg,3D,0.390829,0.53734,3791.55,25.3812,12.00758,1.37487,,,,136.795
318,ish,3D,0.535954,0.41564,2895.24,19.52544,9.34075,0.775515,,,,125.889
319,isi,3D,0.358101,0.56288,3985.37,25.28596,12.33929,1.57185,,,,150.789
320,isj,3D,0.330968,0.59628,4152.77,26.99662,12.40561,1.80162,,,,163.704
321,ism,3D,0.320916,0.60114,4272.62,27.42787,13.47992,1.8732,,,,176.13
322,isn,3D,0.326344,0.59852,4168.02,26.70065,13.35274,1.83401,,,,167.086
323,iso,3D,0.316122,0.61288,4213.41,27.47849,14.1246,1.93875,,,,173.991
324,isu,3D,0.415985,0.523,3471.75,23.03106,12.08861,1.25726,,,,125.258
325,isx,3D,0.346218,0.58134,3988.5,25.27159,13.87423,1.67912,,,,159.443
326,jusa,3D,0.319705,0.66396,2881.69,38.60228,31.50125,2.07679,,,,108.452
