,Topology,Label,Density,VF,GSA,LCD,PLD,GAV,∆∆A_total,∆∆A_total_err,Source,U_0K
62,bcn,3D,0.651211,0.30228,2484.67,13.80914,9.14386,0.464181,,,,196.433
63,bco,3D,0.579766,0.36176,2639.09,15.34056,12.19583,0.623976,,,,223.036
64,bcp,3D,0.522863,0.42604,2753.53,20.13425,15.75822,0.814822,,,,230.77
65,bcx,3D,0.545884,0.44984,2165.02,20.94524,13.9594,0.824058,,,,188.672
66,bel,3D,0.444809,0.51168,2849.84,21.53394,15.69653,1.15034,,,,211.494
67,bik,3D,0.482973,0.45584,2892.12,22.41826,16.26599,0.94382,,,,272.495
68,bnl,3D,0.624346,0.35466,2207.99,19.24812,13.25608,0.56805,,,,196.603
69,byl,3D,0.497159,0.41012,3440.69,17.25689,10.01986,0.824927,,,,256.52
70,cag,3D,0.532303,0.39536,3030.58,17.83381,9.87717,0.742735,,,,231.479
71,can,3D,0.440716,0.49866,3064.58,25.97731,16.93268,1.13148,,,,246.19
72,cbn,3D,0.518303,0.4035,3059.71,17.57315,12.37334,0.778502,,,,241.308
73,cbo,3D,0.483316,0.454,3077.64,20.16877,12.3411,0.939344,,,,251.736
74,cbt,3D,0.497747,0.46204,2653.35,21.97936,14.94519,0.928263,,,,208.696
75,cda,3D,0.667676,0.30756,1975.92,17.6792,13.96458,0.460643,,,,214.978
76,cdp,3D,0.538539,0.37782,3083.52,16.20807,10.65296,0.701565,,,,237.794
77,cea,3D,0.426547,0.53564,2649.51,26.84379,21.1065,1.25576,,,,223.529
78,cena,3D,0.401487,0.5638,2810.46,37.02429,17.62431,1.40428,,,,209.01
79,cfc,3D,0.888551,0.1701,1168.77,13.31521,8.32011,0.191435,,,,265.005
80,cgs,3D,0.412111,0.5644,2510.23,29.85557,22.54918,1.36953,,,,217.165
81,cnw,3D,0.503276,0.4182,3131.41,17.22028,11.40659,0.830955,,,,250.544
82,coe,3D,0.797956,0.19242,1751.9,11.93113,7.67201,0.241141,,,,241.442
83,coi,3D,0.837114,0.20936,1335.46,15.74708,12.08849,0.250097,,,,185.372
84,crb,3D,0.50765,0.40714,3333.55,16.45254,11.03945,0.802009,,,,245.394
85,crba,3D,0.478135,0.52322,2290.43,25.98241,19.95735,1.09429,,,,178.554
86,cua,3D,0.456932,0.5482,2036,29.6946,19.87146,1.19974,,,,193.691
87,cus,3D,0.517633,0.43464,2703.31,19.37858,14.38785,0.839668,,,,214.593
88,dei,3D,0.367179,0.63024,2206,34.13417,25.68807,1.71644,,,,218.994
89,dft,3D,0.495207,0.45998,2746.55,18.53474,13.85023,0.928864,,,,215.511
90,dia,3D,0.568219,0.34096,3126.58,14.32182,8.90604,0.60005,,,,229.983
91,diaa,3D,0.511958,0.48782,2214.52,23.49534,16.46095,0.952852,,,,177.808
92,dmp,3D,1.02473,0.05286,552.991,12.3736,4.19939,0.0515844,,,,171.113
93,doh,3D,0.471447,0.45258,3137.41,26.66746,12.34118,0.95998,,,,235.067
94,edi,3D,0.471028,0.49402,2696.74,20.32337,13.26486,1.04881,,,,209.412
95,fel,3D,0.522964,0.44312,2551.77,18.63404,13.9646,0.847324,,,,212.972
96,fte,3D,0.405184,0.5632,2645.42,27.44404,22.49968,1.38999,,,,221.639
97,ftk,3D,0.368449,0.60264,2689.95,44.02127,36.80243,1.63561,,,,225.232
98,ftl,3D,0.260402,0.72828,2545.19,48.76126,36.08932,2.79675,,,,198.455
99,ftn,3D,0.411036,0.5462,2893.21,30.41378,14.6787,1.32884,,,,203.29
100,fto,3D,0.396949,0.58004,2660.31,33.35797,17.43709,1.46124,,,,189.909
101,ftp,3D,0.416753,0.54004,2959.23,26.77,13.20861,1.29583,,,,207.092
102,fum,3D,0.412034,0.58056,2168.23,41.5663,31.05106,1.40901,,,,198.892
103,fup,3D,0.444744,0.5316,2498.98,29.18787,19.44615,1.19529,,,,262.049
104,fvb,3D,0.40426,0.54482,2943.49,26.97808,19.49556,1.3477,,,,241.36
105,fve,3D,0.445928,0.51924,2454.44,28.55843,18.66204,1.1644,,,,212.59
106,fvk,3D,0.444717,0.50976,2785.38,30.67092,20.61683,1.14626,,,,233.92
107,fvn,3D,0.437293,0.5473,2171.76,39.54039,34.91086,1.25156,,,,210.909
108,fvu,3D,0.510202,0.44592,2581.77,24.37825,18.08829,0.874007,,,,219.333
109,fvw,3D,0.49749,0.4743,2382.62,26.47385,16.81497,0.953386,,,,310.848
110,gcc,3D,0.349089,0.6301,2566.81,43.65162,39.08654,1.80498,,,,212.017
111,gis,3D,0.435116,0.5349,2623.25,22.82521,17.34093,1.22933,,,,215.664
112,gme,3D,0.408956,0.5579,2647.21,29.44778,23.50991,1.3642,,,,225.25
113,gsi,3D,0.682992,0.25456,2488.49,13.02136,7.87967,0.372713,,,,203.66
114,hbo,3D,0.448847,0.5029,2878.66,24.83475,14.34596,1.12043,,,,227.029
115,icm,3D,0.457865,0.49992,2802.88,23.00769,15.41833,1.09185,,,,216.496
116,icv,3D,0.780888,0.20902,1845.28,12.42773,7.42067,0.26767,,,,202.567
117,irl,3D,0.565777,0.39614,2571.76,16.93638,14.04465,0.70017,,,,430.86
118,isk,3D,0.487782,0.44912,2902.68,24.57524,10.32834,0.920739,,,,298.189
119,isl,3D,0.49996,0.43212,2918.06,21.8995,11.71629,0.86431,,,,229.66
120,isp,3D,0.514585,0.43072,2747.85,21.73761,10.36949,0.837023,,,,216.784
121,isq,3D,0.509787,0.43264,2775.93,20.89504,12.21527,0.848668,,,,220.399
122,iss,3D,0.495802,0.4526,2743.29,22.9274,13.18826,0.912864,,,,226.916
123,isy,3D,0.456382,0.48226,2963.96,23.13672,14.59544,1.0567,,,,239.837
124,itv,3D,0.815513,0.16202,1754.6,11.22543,6.49169,0.198672,,,,212.852
125,kea,3D,0.62882,0.33806,2307.8,14.59083,10.37171,0.53761,,,,250.54
126,ket,3D,0.430853,0.53916,2665.09,25.09056,20.45806,1.25138,,,,216.321
127,kwo,3D,0.46722,0.4763,2951.94,22.29866,13.79586,1.01943,,,,234.151
128,lcs,3D,0.647508,0.2777,2683.82,13.08168,8.27595,0.428875,,,,206.964
129,lcya,3D,0.388901,0.58598,2631.44,26.59349,21.31874,1.50676,,,,195.255
130,lon,3D,0.518536,0.38014,3454.43,14.87034,9.64377,0.733103,,,,328.78
131,lona,3D,0.356063,0.62248,2778.08,29.12803,20.9124,1.74823,,,,187.824
132,los,3D,0.447235,0.48632,3113.55,22.28276,11.70355,1.08739,,,,235.485
133,lta,3D,0.359156,0.60162,2900.44,41.05728,20.39146,1.67509,,,,231.03
134,ltj,3D,0.478872,0.46778,2887.52,20.06645,15.5319,0.976837,,,,229.901
135,mdf,3D,1.17334,0,0,8.52514,2.5741,0,,,,187.579
136,mer,3D,0.443997,0.528,2575.62,30.55364,16.91224,1.1892,,,,298.353
137,mmt,3D,0.589257,0.3281,2883.43,13.58476,8.28027,0.556803,,,,247.049
138,mok,3D,0.90027,0.11458,1338.69,11.09461,7.17404,0.127273,,,,219.45
139,mon,3D,0.558127,0.42268,2278.72,19.21912,13.59771,0.757319,,,,195.769
140,neb,3D,0.65502,0.27328,2618.48,13.8125,7.87366,0.417209,,,,221.083
141,noq,3D,0.466252,0.46628,2937.13,20.6254,15.52051,1.00006,,,,249.468
142,not,3D,0.790501,0.23526,1593.1,13.32421,10.67813,0.297609,,,,190.181
143,npo,3D,0.436905,0.50258,3113.1,24.62891,20.61487,1.15032,,,,227.709
144,npoa,3D,0.341567,0.65238,2402.57,43.54572,40.34499,1.90996,,,,182.123
145,ntn,3D,0.592606,0.37826,2334.26,16.981,13.40578,0.638299,,,,203.676
146,off,3D,0.412319,0.54994,2732.58,28.17488,21.28548,1.33377,,,,226.772
147,omy,3D,0.451012,0.50656,2882.9,20.51445,13.9648,1.12316,,,,197.041
148,pcb,3D,0.477823,0.48638,2744.93,19.52454,12.7611,1.01791,,,,205.904
149,pcl,3D,0.490468,0.44416,2977.59,20.26377,14.59127,0.905585,,,,224.618
150,phi,3D,0.406736,0.5572,2750.11,26.45117,16.97201,1.36993,,,,235.343
151,qtz,3D,0.658822,0.26642,2537.52,12.59415,10.13452,0.404389,,,,229.688
152,qtza,3D,0.384253,0.58712,2856.42,22.52878,17.22572,1.52795,,,,190.422
153,qzj,3D,0.394055,0.58894,2594.72,28.65671,18.254,1.49456,,,,186.18
154,rac,3D,0.7607,0.26858,1606.63,14.77318,11.12161,0.35307,,,,180.487
155,rae,3D,0.597934,0.3733,2299.49,17.6803,12.69567,0.624316,,,,204.1
156,sas,3D,0.393162,0.56012,2854.76,33.85493,20.6571,1.42465,,,,322.303
157,sca,3D,0.488054,0.45776,2732.31,21.95113,14.13663,0.937928,,,,229.991
158,sie,3D,0.50341,0.40458,3411.79,16.13498,10.35312,0.803679,,,,273.401
